127.0.0.1 - - [03/May/2022:22:00:57 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [03/May/2022:22:00:58 +0700] "GET /management/login_form.jsp HTTP/1.1" 200 1634
0:0:0:0:0:0:0:1 - - [03/May/2022:22:00:58 +0700] "GET /management/css/login_form.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2022:22:00:58 +0700] "GET /favicon.ico HTTP/1.1" 404 684
0:0:0:0:0:0:0:1 - - [03/May/2022:22:37:22 +0700] "GET /management/home HTTP/1.1" 200 26754
0:0:0:0:0:0:0:1 - - [03/May/2022:22:37:22 +0700] "GET /management/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2022:22:37:22 +0700] "GET /management/css/themify-icons.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2022:22:37:22 +0700] "GET /management/css/lightbox.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2022:22:37:22 +0700] "GET /management/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2022:22:37:22 +0700] "GET /management/css/owl.carousel.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2022:22:37:22 +0700] "GET /management/css/video.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2022:22:37:22 +0700] "GET /management/css/menu.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2022:22:37:22 +0700] "GET /management/css/responsive.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2022:22:37:22 +0700] "GET /management/js/jquery-2.1.4.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2022:22:37:22 +0700] "GET /management/js/jquery.isotope.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2022:22:37:22 +0700] "GET /management/js/lightbox.js HTTP/1.1" 304 -
